Term,Definition,Category,Favorite
Designation,"The act of officially identifying, selecting, or naming a person, position, or status.",General Vocabulary,
Desist,To stop or cease an action.,General Vocabulary,
Direct Loss,A financial loss caused directly by a covered peril.,P&C - Principles,
Directors and Officers (D&O) Liability,Protects directors and officers against claims arising from management decisions.,P&C - Liability,
Disability Income Insurance,Insurance that replaces part of lost income due to disability.,Health - Disability,
Disclosure,The act of revealing or making relevant information known.,Legal & Regulatory,
Discrepancy,"A difference or inconsistency between facts, figures, records, or statements that should agree.",General Vocabulary,
Discretionary,Left to judgment or choice rather than required by a fixed rule.,General Vocabulary,
Dismemberment,"The loss or loss of use of a limb, eyesight, or other specified body part as defined by an insurance policy.",Health - Basics,
Disseminating,Distributing or spreading information to an intended audience.,Insurance Operations,
Dividend,A return of excess premium to participating policyowners; not taxable when treated as a return of premium.,Life - Policy Types,
Domicile,A person's permanent legal residence or the jurisdiction considered their permanent home.,Legal & Regulatory,
Earnestly,"In a serious, sincere, and determined manner.",General Vocabulary,
Elimination Period,The waiting period before disability income benefits begin.,Health - Disability,
Embezzle,To fraudulently take money or property that was entrusted to one's care.,Legal & Regulatory,
Employee Dishonesty,Coverage for losses caused by fraudulent or dishonest acts of employees.,P&C - Commercial,
Employers Liability,Protects employers against certain lawsuits not covered by workers' compensation benefits.,P&C - Workers' Compensation,
Employment Practices Liability Insurance (EPLI),Covers claims involving wrongful employment practices such as discrimination or wrongful termination.,P&C - Liability,
Endorsement,"A written change that adds, removes, or modifies policy coverage.",P&C - Contracts,
Endow,"To provide money, property, or continuing financial support for a person or institution.",General Vocabulary,
Endowment,"Money or property set aside to provide continuing financial support; in life insurance, it can also refer to a policy benefit payable at a specified maturity.",General Vocabulary,
Entire Contract,The policy and attached application together constitute the complete agreement.,Life - Policy Provisions,
Equipment Breakdown,Covers loss caused by mechanical or electrical breakdown of covered equipment.,P&C - Commercial,
Equity,"The ownership value remaining after subtracting related debts or obligations; in cash-value life insurance, it generally reflects available policy value after loans.",Life - Basics,
Equity Indexed Annuity,A fixed annuity whose credited interest is linked in part to a market index while providing contractual minimum guarantees.,Life - Annuities,
Errors and Omissions (E&O) Insurance,"Professional liability insurance covering negligent acts, errors, or omissions.",P&C - Liability,
Estate Conservation,Planning to preserve assets and reduce estate settlement costs.,Life - Business Uses,
Estoppel,A legal principle preventing a party from asserting a position inconsistent with prior words or actions when another party reasonably relied on them.,Insurance - Contracts,
Excess Liability,Liability insurance that provides additional limits above specified underlying insurance.,P&C - Liability,
Exclusions,Policy provisions that identify losses or property not covered.,P&C - Contracts,
Exclusive Provider Organization (EPO),A plan covering services only from network providers except emergencies.,Health - Medical Plans,
Exclusive Remedy,Makes workers' compensation benefits the employee's primary remedy against the employer for covered injuries.,P&C - Workers' Compensation,
Exposure,A condition or situation that creates the possibility of financial loss.,P&C - Principles,
Extended Term Insurance,A nonforfeiture option using cash value to buy term insurance with the original face amount.,Life - Policy Provisions,
Extra Expense,Pays additional expenses incurred to continue business operations after a covered loss.,P&C - Commercial,
Face Amount,The death benefit stated in the policy before adjustments.,Life - Basics,
Facultative,Optional or discretionary rather than automatic or required.,General Vocabulary,
Faulty workmanship,"Work performed below required standards, specifications, or accepted construction practices.",P&C - Property,
Fidelity Bond,Protects an employer against dishonest acts of employees.,P&C - Bonds,
Fiduciary,A person or organization legally obligated to act in another party's best interests.,Legal & Regulatory,
First Named Insured,The primary insured listed on the policy with special rights and responsibilities.,P&C - Contracts,
Fixed Amount Option,Pays proceeds in regular installments of a selected amount until exhausted.,Life - Settlement Options,
Fixed Annuity,An annuity that guarantees a fixed rate of return.,Life - Annuities,
Fixed Period Option,Pays proceeds over a specified period of time.,Life - Settlement Options,
Flexible Spending Account (FSA),An employer-sponsored account allowing pretax payment of qualified healthcare expenses.,Health - Government Programs,
Forfeit,"To lose a right, benefit, or property because of a breach, violation, or failure to meet a requirement.",Legal & Regulatory,
Forgery,The fraudulent signing or alteration of another person's name or document.,P&C - Commercial,
Fraternal,Relating to a brotherhood or member-based society organized around shared interests or purposes.,General Vocabulary,
Fraud,Intentional deception for unlawful financial gain.,P&C - Contracts,
Free Look Period,A stated period after policy delivery during which the policyowner may return the policy for a refund as required by the contract or law.,Life - Policy Provisions,
Functional Replacement Cost,A valuation method using less costly modern materials with similar function.,P&C - Property,
Garagekeepers Coverage,"Covers customers' vehicles left in the insured's care, custody, or control.",P&C - Commercial,
Gatekeeper,The primary care physician who coordinates specialty referrals in many managed care plans.,Health - Medical Plans,
Grace Period,The period after a premium due date during which coverage continues.,Life - Policy Provisions,
Guaranteed Insurability Rider,Allows the owner to purchase additional coverage without evidence of insurability.,Life - Riders,
Guaranteed Renewable,A policy the insurer must renew as long as premiums are paid; premiums may change by class.,Health - Basics,
Hazard,A condition that increases the likelihood or severity of a loss.,P&C - Principles,
Health Insurance,Insurance that helps pay covered medical and healthcare expenses.,Health - Basics,
Health Maintenance Organization (HMO),"A managed care plan that generally requires members to use network providers and coordinate care through plan rules, except for covered emergencies.",Health - Medical Plans,
Health Reimbursement Arrangement (HRA),An employer-funded arrangement that reimburses qualified medical expenses.,Health - Government Programs,
Health Savings Account (HSA),A tax-advantaged account used to pay qualified medical expenses with a high-deductible health plan.,Health - Government Programs,
HIPAA,A federal law addressing health insurance portability and establishing privacy and security protections for protected health information.,Health - Government Programs,
HO-2,A broad form homeowners policy covering named perils.,P&C - Homeowners,
HO-3,The most common homeowners policy providing open-peril dwelling coverage and named-peril personal property coverage.,P&C - Homeowners,
HO-4,A renters policy covering personal property and liability but not the building.,P&C - Homeowners,
HO-5,A comprehensive homeowners policy with open-peril coverage for both dwelling and personal property.,P&C - Homeowners,
HO-6,A condominium owners policy.,P&C - Homeowners,
HO-8,A modified coverage form designed primarily for older homes.,P&C - Homeowners,
Home Health Care,Healthcare services provided in the insured's home.,Health - Long-Term Care,
Homeowners Policy,A personal insurance policy that combines property and liability coverage for a residence.,P&C - Homeowners,
Illustration,A presentation showing how a life insurance policy may perform under certain assumptions.,Life - Policy Provisions,
Immediate Annuity,An annuity that begins income payments shortly after purchase.,Life - Annuities,
Impairment,"A loss or reduction of normal physical, mental, or functional ability.",Health - Basics,
Imperative,Extremely important or necessary; it may also refer to a direct command.,General Vocabulary,
Incontestability Clause,"A provision limiting an insurer's ability to void a life policy for application misstatements after the contestable period, subject to stated exceptions.",Life - Policy Provisions,
Increasing Term,Term insurance with a death benefit that increases over time.,Life - Policy Types,
Indemnification,The act or contractual obligation of compensating another party for a covered loss or liability.,Legal & Regulatory,
Indemnify,To compensate or protect another party against a covered loss or liability.,Legal & Regulatory,
Indemnity,Restores the insured to approximately the same financial position as before the loss; insurance is not intended to create a profit.,P&C - Principles,
Independent Contractor,"A self-employed worker whose classification may exclude them from employee workers' compensation benefits, depending on applicable law and the facts.",P&C - Workers' Compensation,
Indirect Loss,"A consequential loss that results from a direct loss, such as lost income.",P&C - Principles,
Inducement,An incentive or benefit offered to persuade someone to take an action.,Legal & Regulatory,
Infringement,"An unauthorized violation of a law, contract, or legally protected right.",Legal & Regulatory,
Inherent,"Existing as a natural, essential, or inseparable characteristic.",General Vocabulary,
Inherent vice,A natural characteristic or defect in property that causes it to deteriorate or damage itself without an outside cause.,P&C - Property,
Inland Marine Insurance,"Covers movable property, transportation, and specialized types of property.",P&C - Commercial,
Insolvency,The financial condition of being unable to pay debts or obligations when due.,Insurance Operations,
Insolvency insurance,"Coverage designed to protect against certain losses caused by the insolvency of a customer, supplier, or other counterparty.",Insurance Operations,
Insurable Interest,A lawful financial or personal interest that would cause a person to suffer loss if the insured person or property were harmed.,Insurance - Basics,
Insurance adjuster,"A professional who investigates, evaluates, and helps settle insurance claims.",Claims,
Insurance Commissioner,The state official responsible for regulating the insurance industry.,P&C - California Law,
Insurance Policy,"The written contract that describes the coverage, terms, conditions, and exclusions.",P&C - Contracts,
Insured,The person whose life or health is covered by the policy.,Life - Basics,
Insurer,"The insurance company or entity that accepts risk, issues policies, and pays covered claims.",Insurance - Basics,
Insuring Agreement,The policy section describing what the insurer promises to cover.,P&C - Contracts,
Intermediate Care,Care less intensive than skilled nursing but more than custodial care.,Health - Long-Term Care,
Irrevocable,"Unable to be changed, canceled, or withdrawn without required consent.",General Vocabulary,
Irrevocable Beneficiary,A beneficiary whose rights cannot be changed without written consent.,Life - Basics,
Joint Life,One policy covering two insureds that pays upon the first death.,Life - Policy Types,
Key Person Insurance,Life insurance purchased on an important employee whose loss would financially affect the business.,Life - Business Uses,
Lapse,Termination of insurance coverage because a required premium or other continuation requirement was not satisfied.,Insurance - Contracts,
Legal Liability,Responsibility imposed by law for injury or damage to others.,P&C - Liability,
Level,Remaining unchanged in amount or rate for a stated period.,General Vocabulary,
Level Term,Term insurance with a level death benefit throughout the policy term.,Life - Policy Types,
Liability,"Legal responsibility for an obligation, debt, injury, or damage.",Legal & Regulatory,
Liability Coverage,Pays for bodily injury or property damage the insured is legally responsible for.,P&C - Auto,
Liberalization,"The act of making rules, restrictions, or requirements less strict.",General Vocabulary,
Liberalization Clause,A policy provision automatically broadening coverage when the insurer adopts an enhancement.,P&C - Contracts,
Lienholder,A person or institution holding a legal claim against property as security for a debt.,Claims,
Limit of Liability,The maximum amount the insurer will pay for a covered loss.,P&C - Contracts,
Limited Pay Whole Life,Whole life insurance with premiums paid for a limited number of years.,Life - Policy Types,
Long-Term Care Insurance,"Insurance designed to pay for covered long-term services such as nursing, assisted living, home health, and custodial care.",Health - Long-Term Care,
Loss Payee,A party entitled to receive claim payments because of a financial interest in the property.,P&C - Property,
Lump-Sum Option,Pays the entire death benefit in one payment.,Life - Settlement Options,
Malpractice Insurance,Professional liability insurance for healthcare professionals.,P&C - Liability,
Managed Care,A healthcare delivery system designed to control costs while maintaining quality.,Health - Medical Plans,
Market Value,The price a property could reasonably sell for in the open market.,P&C - Property,
Material,"Important enough to influence an insurer's decision about accepting, pricing, or covering a risk.",Insurance - Underwriting,
Medicaid,A joint federal and state program providing healthcare for eligible low-income individuals.,Health - Government Programs,
Medical Information Bureau (MIB),An industry organization that provides member insurers coded information from prior insurance applications to help detect omissions and misrepresentations.,Life - Underwriting,
Medical Payments,Pays medical expenses for covered occupants regardless of fault.,P&C - Auto,
Medicare,The federal health insurance program primarily for people age 65 and older and certain disabled individuals.,Health - Government Programs,
Medicare Part A,"Hospital insurance covering inpatient hospital, skilled nursing, hospice, and certain home health care.",Health - Government Programs,
Medicare Part B,"Medical insurance covering physician services, outpatient care, and preventive services.",Health - Government Programs,
Medicare Part C (Medicare Advantage),A Medicare-approved private plan providing Parts A and B benefits and often additional coverage.,Health - Government Programs,
Medicare Part D,Prescription drug coverage offered through private plans.,Health - Government Programs,
Medigap,"Private Medicare Supplement insurance that helps pay certain deductibles, coinsurance, and other gaps in Original Medicare.",Health - Government Programs,
Misrepresentation,An incorrect statement of a material fact that affects the insurer's decision.,P&C - Contracts,
Misstatement of Age,A provision that adjusts benefits if the insured's age was incorrectly stated.,Life - Policy Provisions,
Moral Hazard,Dishonesty or character traits that increase the chance of intentional loss.,P&C - Principles,
Morale Hazard,Carelessness or indifference to loss because insurance exists.,P&C - Principles,
Morbidity,"The frequency or rate of illness, injury, or disability within a population.",Health - Basics,
Mortgagee,A lender with a financial interest in insured real property.,P&C - Property,
Municipal,"Relating to a city, town, or other local government.",General Vocabulary,
Named Insured,The person or organization specifically identified as an insured in the policy.,P&C - Contracts,
Named Peril,Coverage only for causes of loss specifically listed in the policy.,P&C - Property,
Negligence,Failure to use the degree of care that a reasonably prudent person would use.,P&C - Liability,
Network Provider,A healthcare provider contracted with a health plan.,Health - Medical Plans,
Newly Acquired Auto,Automatically covers a newly purchased vehicle for a limited time.,P&C - Auto,
Non-Owned Auto,A vehicle the insured uses but does not own.,P&C - Auto,
Nonadmitted Insurer,An insurer not licensed in the state but permitted under certain circumstances.,P&C - California Law,
Noncancelable,A policy that cannot be canceled and whose premiums cannot be increased by the insurer while in force.,Health - Basics,
Nonforfeiture Option,A policy provision allowing the owner to retain value after stopping premium payments.,Life - Policy Provisions,
Nonparticipating Policy,A policy that does not pay dividends.,Life - Policy Types,
Nonrenewal,The insurer's decision not to continue a policy after it expires.,P&C - Contracts,
Obligee,The party protected by the surety bond.,P&C - Bonds,
Occurrence,"An accident, including continuous or repeated exposure to substantially the same harmful conditions, that results in covered injury or damage.",P&C - Liability,
Ocean Marine Insurance,"Covers ships, cargo, freight, and other maritime exposures.",P&C - Commercial,
Open Peril,Coverage for all causes of loss except those specifically excluded.,P&C - Property,
Other Insurance Clause,A provision explaining how losses are shared when multiple policies apply.,P&C - Contracts,
Other Structures,"Detached structures such as garages, sheds, and fences.",P&C - Homeowners,
Other Than Collision (OTC),"Covers losses from causes other than collision, such as theft, fire, or hail.",P&C - Auto,
Out-of-Network Provider,A provider without a contract with the health plan.,Health - Medical Plans,
Out-of-Pocket Maximum,The most an insured pays for covered services in a policy period.,Health - Basics,
Outliving,"Living longer than another person, a stated period, or the duration of available resources.",General Vocabulary,
Own Occupation,A disability definition based on the inability to perform the insured's own occupation.,Health - Disability,
Owned Auto,A vehicle listed on the policy.,P&C - Auto,
Paid-in capital or capital paid in,Money contributed by owners or investors to a company in exchange for ownership interests.,Insurance Operations,
Paid-Up Additions,A dividend option that purchases additional fully paid life insurance.,Life - Policy Types,
Pair and Set Clause,A property provision addressing loss to items that are part of a matched set.,P&C - Property,
Parol Evidence Rule,A contract rule that generally prevents prior or contemporaneous outside statements from changing the terms of a complete written agreement.,Legal & Regulatory,
Partial Disability,"A disability allowing the insured to perform some, but not all, occupational duties.",Health - Disability,
Participating Policy,A policy eligible to receive insurer dividends.,Life - Policy Types,
Patient Protection and Affordable Care Act (PPACA),Federal law that expanded access to health insurance and established major insurance market reforms.,Health - Government Programs,
Payor Benefit Rider,Waives premiums if the payor of a juvenile policy dies or becomes disabled.,Life - Riders,
Peak Season Endorsement,Temporarily increases inventory coverage during seasonal business peaks.,P&C - Commercial,
Peril,"The direct cause of a loss, such as fire, theft, or windstorm.",P&C - Principles,
Personal Auto Policy (PAP),The standard policy providing personal automobile insurance coverage.,P&C - Auto,
Personal Injury,"Injury arising from specified offenses such as false arrest, wrongful detention, libel, slander, or invasion of privacy rather than physical bodily harm.",P&C - Liability,
Personal Property,Movable belongings owned or used by the insured.,P&C - Homeowners,
Pertain,"To relate to, concern, or be connected with something.",General Vocabulary,
Physical Hazard,"A physical condition that increases the chance of loss, such as faulty wiring.",P&C - Principles,
Plaintiff,The party who starts a civil lawsuit by bringing a legal claim against another party.,Legal & Regulatory,
Point of Service (POS),A plan combining HMO and PPO features with referral options.,Health - Medical Plans,
Policy Loan,A loan borrowed against a policy's available cash value.,Life - Policy Provisions,
Policy Summary,A document summarizing important features of a life insurance policy.,Life - Policy Provisions,
Policyowner,The person who owns the policy and exercises its contractual rights.,Life - Basics,
Preexisting Condition,A medical condition that existed before coverage became effective.,Health - Basics,
Preferred Provider Organization (PPO),A plan offering lower costs for using a network while allowing out-of-network care.,Health - Medical Plans,
Preferred Risk,An applicant presenting lower-than-average risk who may qualify for more favorable premium rates.,Life - Underwriting,
Premium,The amount paid to keep an insurance policy in force.,Life - Basics,
Presumptive,Accepted as true or likely based on available evidence unless proven otherwise.,General Vocabulary,
Presumptive Disability,A severe disability automatically qualifying for full benefits under policy terms.,Health - Disability,
Pretext interview,An interview in which a person obtains information by misrepresenting their identity or purpose; insurance use is restricted by law.,Legal & Regulatory,
Primary Beneficiary,The first beneficiary entitled to receive policy proceeds.,Life - Basics,
Primary Care Physician (PCP),The doctor who coordinates a member's healthcare in many managed care plans.,Health - Medical Plans,
Primary Insurance,Coverage that pays before other applicable insurance.,P&C - Liability,
Principal,The party whose performance is guaranteed by a surety bond.,P&C - Bonds,
Probate,"The court-supervised process for validating a will, settling debts, and distributing a deceased person's estate.",Life - Basics,
Probationary Period,The initial period after policy issue during which certain sickness benefits are limited.,Health - Basics,
Producer,"A state-licensed person or entity authorized to sell, solicit, or negotiate insurance.",Insurance Operations,
Professional Liability,Liability arising from professional services or advice.,P&C - Liability,
Property Damage,Physical injury to tangible property or loss of its use.,P&C - Liability,
Proximate Cause,The dominant cause that sets a chain of events leading to a loss.,P&C - Principles,
Punitive,Intended to punish or deter wrongful conduct rather than compensate for a loss.,Legal & Regulatory,
Pure Risk,"A risk that involves only the possibility of loss or no loss, with no chance of gain.",P&C - Principles,
Ratification,A principal's approval of an act previously performed on the principal's behalf without proper authority.,Legal & Regulatory,
Reassess,To evaluate or consider something again in light of new information or circumstances.,General Vocabulary,
Rebating,Offering an illegal inducement not specified in the insurance contract to encourage a purchase.,Life - California Law,
Reciprocal,"Involving a mutual exchange, relationship, or corresponding action between parties.",General Vocabulary,
Recurrent Disability,A disability that returns from the same cause after recovery.,Health - Disability,
Reduced Paid-Up Insurance,A nonforfeiture option providing a reduced amount of fully paid permanent insurance.,Life - Policy Provisions,
Reinstatement,Restoring a lapsed policy after meeting the insurer's requirements.,Life - Policy Provisions,
Reinsurance,Insurance purchased by an insurer to transfer part of its risk to another insurer.,P&C - Principles,
Renewable Term,Term insurance that may be renewed without evidence of insurability.,Life - Policy Types,
Replacement,"A transaction in which new life insurance or an annuity is purchased and existing coverage is lapsed, surrendered, forfeited, assigned, or otherwise materially affected.",Life - Underwriting,
Replacement Cost,The cost to repair or replace property with similar materials without deducting depreciation.,P&C - Property,
Replacement Cost Estimator,A tool used to estimate the cost to rebuild property after a loss.,P&C - Property,
Replacement Notice,A disclosure informing applicants of important facts when replacing existing coverage.,Life - California Law,
Replacement Ratio,The percentage of pre-disability income replaced by disability benefits.,Health - Disability,
Representation,A statement believed to be true when made that influences the insurer's decision.,P&C - Contracts,
Residence Premises,The location listed in the policy where the insured resides.,P&C - Homeowners,
Residual Disability,A disability causing a partial loss of income after returning to work.,Health - Disability,
Respite Care,Temporary care provided to relieve a primary caregiver.,Health - Long-Term Care,
Retrospective,"Looking back at or evaluating past events, results, or experience.",General Vocabulary,
Return of Premium Rider,Returns eligible premiums if specified conditions are met.,Life - Riders,
Revocable Beneficiary,A beneficiary designation that the owner can change without consent.,Life - Basics,
Risk,The uncertainty of loss or the chance that a loss may occur.,P&C - Principles,
Robbery,Taking property from a person through force or threat of force.,P&C - Commercial,
Salvage,Property remaining after a loss that still has value.,P&C - Property,
Settlement Option,The method chosen to distribute life insurance proceeds.,Life - Policy Provisions,
Sever,"To separate, divide, or end a connection, relationship, or legal right.",General Vocabulary,
Shortfall,"The amount by which an actual result is less than what is required, expected, or available.",General Vocabulary,
Single Premium Whole Life,Whole life insurance funded with one lump-sum premium.,Life - Policy Types,
Skilled Nursing Care,Care provided by licensed medical professionals under medical supervision.,Health - Long-Term Care,
Solicit,To approach or communicate with someone for the purpose of requesting or offering something.,General Vocabulary,
Solicitation,"The act of marketing, offering, or seeking to sell insurance to a prospective customer.",Insurance Operations,
Solicitor,A licensed person who assists an insurance agent or broker in soliciting property and casualty insurance under supervision.,Insurance Operations,
Specific Insurance,Coverage applying a separate limit to each insured property.,P&C - Commercial,
Speculative Risk,"A risk that involves the possibility of loss, no loss, or gain and is generally not insurable.",P&C - Principles,
Standard Risk,An applicant who qualifies for coverage at standard premium rates.,Life - Underwriting,
Statute,A formal written law enacted by a legislative body.,Legal & Regulatory,
Statutory,"Established, required, or authorized by a written law enacted by a legislative body.",Legal & Regulatory,
Stipulates,"Specifies a condition, requirement, or term as part of an agreement or rule.",General Vocabulary,
Subrogation,The insurer's right to recover from a responsible third party after paying a claim.,P&C - Principles,
Substandard Risk,An applicant presenting higher-than-average risk who may be insured at higher premiums or with modified coverage.,Life - Underwriting,
Surety,The party that guarantees the principal's performance.,P&C - Bonds,
Surety Bond,A three-party agreement guaranteeing the performance or obligation of another party.,P&C - Bonds,
Surplus Lines Insurance,Coverage placed through the surplus lines market with an eligible nonadmitted insurer when appropriate admitted coverage is unavailable.,P&C - California Law,
Surrender Charge,A fee for withdrawing annuity funds during the surrender period.,Life - Annuities,
